1	2088478	1802025	6327354
2	-2088478	1802025	6327354
3	2286000	1303450	4552317
4	-2286000	1303450	4552317
5	50800	304799	7657630
6	-50800	304799	7657630
7	1549400	304799	6946409
8	-1549400	304799	6946409
9	2286000	304799	4496209
10	-2286000	304799	4496209
11	-2286000	304800	996900
12	2286000	304800	996900
13	1193800	5080000	7514866
14	-1193800	5080000	7514866
15	2006600	5080000	5622955
16	-2006600	5080000	5622955
17	1219200	5080000	3185822
18	-1219200	5080000	3185822
19	1346200	3962400	3911600
20	-1346200	3962400	3911600
21	2286000	1677170	2427554
22	-2286000	1677170	2427554
23	1651000	2302101	8107734
24	-1651000	2302101	8107734
25	2286000	3962400	5872727
26	-2286000	3962400	5872727
27	1346200	3962400	7366000
28	-1346200	3962400	7366000
29	0	9857387	5114442
30	0	11430000	4870002
31	-1219200	8873911	3613224
32	0	6831201	6211630
33	-457200	10427199	2514779
34	0	5080000	-3185822
35	0	5080000	3185822
36	762000	7276608	-276895
37	-762000	7276608	-276895
38	457200	10427199	2514779
39	-1219200	7483280	2094085
40	1219200	7013152	3954468
41	-1219200	7013152	3954468
42	1219200	8873911	3613224
43	1219200	7483280	2094085
44	-1219200	5080000	0
45	-457200	6831201	-3317986
46	457200	6831201	-3317986
47	-1219200	5080000	-3185822
48	0	8238712	-5439131
49	0	7950789	-767379
50	-1219200	6928813	-1347686
51	-2006600	5080000	-5622955
52	2006600	5080000	-5622955
53	-1193800	5080000	-7514866
54	-1219200	6387435	-5202305
55	1219200	6387435	-5202305
56	1219200	6928813	-1347686
57	1219200	5080000	0
58	1219200	5080000	-3185822
59	1193800	5080000	-7514866
60	-2286000	304799	-4496209
61	-1549400	304799	-6946409
62	-50800	304799	-7657630
63	-2088478	1802025	-6327354
64	-1651000	2302101	-8107734
65	-2286000	304800	-996900
66	-2286000	1303450	-4552317
67	-2286000	1677170	-2427554
68	50799	304799	-7657630
69	-2286000	3962400	-5872727
70	-1346200	3962400	-7366000
71	-1346200	3962400	-3911600
72	1651000	2302101	-8107734
73	1346200	3962400	-7366000
74	2088478	1802025	-6327354
75	2286000	3962400	-5872727
76	2286000	1303450	-4552317
77	1549400	304799	-6946409
78	2286000	304800	-4496209
79	2286000	304800	-996900
80	2286000	1677170	-2427554
81	1346200	3962400	-3911600
