1	2088478	1802025	6327354	7
2	-2088478	1802025	6327354	7
3	2286000	1303450	4552317	7
4	-2286000	1303450	4552317	7
5	50800	304799	7657630	3
6	-50800	304799	7657630	3
7	1549400	304799	6946409	5
8	-1549400	304799	6946409	5
9	2286000	304799	4496209	5
10	-2286000	304799	4496209	5
11	-2286000	304800	996900	4
12	2286000	304800	996900	4
13	1193800	5080000	7514866	5
14	-1193800	5080000	7514866	5
15	2006600	5080000	5622955	7
16	-2006600	5080000	5622955	7
17	1219200	5080000	3185822	6
18	-1219200	5080000	3185822	6
19	1346200	3962400	3911600	6
20	-1346200	3962400	3911600	6
21	2286000	1677170	2427554	4
22	-2286000	1677170	2427554	4
23	1651000	2302101	8107734	5
24	-1651000	2302101	8107734	5
25	2286000	3962400	5872727	7
26	-2286000	3962400	5872727	7
27	1346200	3962400	7366000	5
28	-1346200	3962400	7366000	5
29	0	9857387	5114442	4
30	0	11430000	4870002	5
31	-1219200	8873911	3613224	7
32	0	6831201	6211630	9
33	-457200	10427199	2514779	5
34	0	5080000	-3185822	1
35	0	5080000	3185822	1
36	762000	7276608	-276895	6
37	-762000	7276608	-276895	6
38	457200	10427199	2514779	5
39	-1219200	7483280	2094085	7
40	1219200	7013152	3954468	6
41	-1219200	7013152	3954468	6
42	1219200	8873911	3613224	7
43	1219200	7483280	2094085	7
44	-1219200	5080000	0	6
45	-457200	6831201	-3317986	5
46	457200	6831201	-3317986	5
47	-1219200	5080000	-3185822	9
48	0	8238712	-5439131	8
49	0	7950789	-767379	6
50	-1219200	6928813	-1347686	6
51	-2006600	5080000	-5622955	5
52	2006600	5080000	-5622955	6
53	-1193800	5080000	-7514866	6
54	-1219200	6387435	-5202305	5
55	1219200	6387435	-5202305	5
56	1219200	6928813	-1347686	6
57	1219200	5080000	0	6
58	1219200	5080000	-3185822	8
59	1193800	5080000	-7514866	6
60	-2286000	304799	-4496209	4
61	-1549400	304799	-6946409	4
62	-50800	304799	-7657630	3
63	-2088478	1802025	-6327354	6
64	-1651000	2302101	-8107734	5
65	-2286000	304800	-996900	3
66	-2286000	1303450	-4552317	6
67	-2286000	1677170	-2427554	3
68	50799	304799	-7657630	3
69	-2286000	3962400	-5872727	7
70	-1346200	3962400	-7366000	5
71	-1346200	3962400	-3911600	4
72	1651000	2302101	-8107734	5
73	1346200	3962400	-7366000	5
74	2088478	1802025	-6327354	6
75	2286000	3962400	-5872727	6
76	2286000	1303450	-4552317	6
77	1549400	304799	-6946409	4
78	2286000	304800	-4496209	4
79	2286000	304800	-996900	3
80	2286000	1677170	-2427554	3
81	1346200	3962400	-3911600	5
